Time,T_top,T_bottom
s,C,C
0.0,10.1,10.3
1.1,10.1,10.3
2.3,10.1,10.3
3.4,10.1,10.3
4.6,10.1,10.3
5.7,10.1,10.3
6.9,10.1,10.3
8.0,10.1,10.3
9.2,10.1,10.3
10.3,10.1,10.3
11.5,10.1,10.3
12.6,10.1,10.3
13.8,10.1,10.3
14.9,10.1,10.3
16.0,10.1,10.3
17.2,10.1,10.3
18.3,10.1,10.3
19.5,10.1,10.3
20.6,10.1,10.3
21.8,10.1,10.3
22.9,10.1,10.3
24.1,10.1,10.3
25.2,10.1,10.3
26.4,10.1,10.3
27.5,10.1,10.3
28.7,10.1,10.3
29.8,10.1,10.3
30.9,10.1,10.3
32.1,10.1,10.3
33.2,10.1,10.3
34.4,10.1,10.3
35.5,10.1,10.3
36.7,10.1,10.3
37.8,10.1,10.3
39.0,10.1,10.3
40.1,10.1,10.3
41.3,10.1,10.3
42.4,10.1,10.3
43.5,10.1,10.3
44.7,10.2,10.3
45.8,11.4,11.6
47.0,12.0,12.4
48.1,13.2,13.6
49.3,14.7,15.2
50.4,16.3,17.0
51.6,18.2,18.9
52.7,20.2,21.0
53.9,22.5,23.3
55.0,24.9,25.8
56.2,27.5,28.5
57.3,30.3,31.4
58.4,33.3,34.4
59.6,36.5,37.7
60.7,39.8,41.2
61.9,43.4,44.7
63.0,46.9,48.4
64.2,50.3,52.1
65.3,53.9,56.0
66.5,57.6,59.8
67.6,61.3,63.7
68.8,65.3,67.8
69.9,69.1,72.1
71.1,72.8,76.7
72.2,76.5,80.6
73.3,79.5,84.9
74.5,82.1,89.5
75.6,85.3,94.1
76.8,88.4,98.7
77.9,91.9,103.4
79.1,95.1,108.2
80.2,98.0,112.9
81.4,100.7,117.6
82.5,102.8,122.3
83.7,104.7,127.0
84.8,105.7,131.6
86.0,106.6,136.2
87.1,106.9,140.9
88.2,107.4,145.4
89.4,107.9,150.0
90.5,108.5,154.5
91.7,109.9,158.9
92.8,113.4,163.3
94.0,117.5,167.7
95.1,131.1,172.0
96.3,140.2,176.4
97.4,147.1,180.6
98.6,153.2,184.8
99.7,158.8,189.1
100.8,164.1,193.2
102.0,169.3,197.4
103.1,174.2,201.5
104.3,179.4,205.6
105.4,184.5,209.6
106.6,189.3,213.6
107.7,193.7,217.6
108.9,201.0,221.5
110.0,207.7,225.5
111.2,214.3,229.3
112.3,218.6,233.2
113.5,222.5,236.9
114.6,226.3,240.6
115.7,230.0,244.3
116.9,233.7,248.0
118.0,237.2,251.6
119.2,240.8,255.3
120.3,244.2,258.8
121.5,247.7,262.4
122.6,251.1,265.9
123.8,254.5,269.3
124.9,257.8,272.7
126.1,261.0,276.1
127.2,264.3,279.5
128.4,267.6,282.8
129.5,270.9,286.0
130.6,274.2,289.2
131.8,277.9,292.4
132.9,280.9,295.6
134.1,284.7,298.6
135.2,288.2,301.7
136.4,291.3,304.7
137.5,294.5,307.6
138.7,298.3,310.6
139.8,301.5,313.5
141.0,304.5,316.4
142.1,307.4,319.3
143.3,310.2,322.1
144.4,312.9,324.9
145.5,315.6,327.6
146.7,318.4,330.3
147.8,321.0,332.9
149.0,323.5,335.5
150.1,326.1,338.1
151.3,328.7,340.6
152.4,331.1,343.2
153.6,333.7,345.7
154.7,336.1,348.1
155.9,338.6,350.5
157.0,341.1,352.9
158.1,343.5,355.3
159.3,345.8,357.7
160.4,348.1,359.9
161.6,350.4,362.3
162.7,352.7,364.5
163.9,355.1,366.7
165.0,357.4,368.8
166.2,359.4,371.0
167.3,361.7,373.1
168.5,363.8,375.2
169.6,365.9,377.2
170.8,368.0,379.2
171.9,370.1,381.1
173.0,372.1,383.1
174.2,374.0,385.0
175.3,376.1,387.0
176.5,377.7,388.9
177.6,379.6,390.7
178.8,381.5,392.5
179.9,383.4,394.4
181.1,385.3,396.2
182.2,387.2,397.9
183.4,389.0,399.7
184.5,390.8,401.4
185.7,392.6,403.1
186.8,394.4,404.8
187.9,396.2,406.5
189.1,398.0,408.1
190.2,399.7,409.7
191.4,401.3,411.3
192.5,402.9,412.9
193.7,404.5,414.4
194.8,406.1,416.0
196.0,407.7,417.5
197.1,409.1,418.9
198.3,410.5,420.3
199.4,411.7,421.7
200.6,412.8,423.1
201.7,414.2,424.4
202.8,415.2,425.7
204.0,416.4,427.1
205.1,417.8,428.4
206.3,419.1,429.7
207.4,420.2,430.9
208.6,421.0,432.2
209.7,422.1,433.3
210.9,423.2,434.5
212.0,424.3,435.7
213.2,425.5,436.9
214.3,426.7,438.0
215.4,427.7,439.2
216.6,428.7,440.3
217.7,430.0,441.4
218.9,431.2,442.5
220.0,432.3,443.6
221.2,433.3,444.6
222.3,434.7,445.6
223.5,436.0,446.6
224.6,437.0,447.6
225.8,438.1,448.5
226.9,438.9,449.4
228.1,440.1,450.4
229.2,441.0,451.2
230.3,441.9,452.1
231.5,442.5,453.0
232.6,443.5,453.9
233.8,444.1,454.7
234.9,445.0,455.4
236.1,445.8,456.3
237.2,446.3,457.0
238.4,447.1,457.7
239.5,447.5,458.6
240.7,448.5,459.5
241.8,449.0,460.3
243.0,449.7,461.0
244.1,450.6,461.7
245.2,451.4,462.4
246.4,451.6,463.1
247.5,452.1,463.8
248.7,452.6,464.5
249.8,453.3,465.2
251.0,453.7,465.9
252.1,454.4,466.5
253.3,455.1,467.2
254.4,455.6,467.7
255.6,456.4,468.4
256.7,457.1,469.0
257.9,457.6,469.5
259.0,458.5,470.1
260.1,459.1,470.6
261.3,459.5,471.2
262.4,460.1,471.9
263.6,460.4,472.4
264.7,460.9,472.9
265.9,461.3,473.4
267.0,461.8,473.9
268.2,462.1,474.4
269.3,462.5,474.9
270.5,462.8,475.4
271.6,463.4,475.9
272.7,463.9,476.3
273.9,464.3,476.7
275.0,464.8,477.1
276.2,465.1,477.5
277.3,465.6,478.0
278.5,465.8,478.5
279.6,466.3,479.0
280.8,466.4,479.4
281.9,467.1,479.9
283.1,467.5,480.3
284.2,467.8,480.7
285.4,468.3,481.2
286.5,468.7,481.6
287.6,469.1,482.0
288.8,469.4,482.3
289.9,469.7,482.7
291.1,469.8,483.0
292.2,470.0,483.4
293.4,470.6,483.7
294.5,471.2,484.1
295.7,471.4,484.5
296.8,471.8,484.9
298.0,472.3,485.3
299.1,472.8,485.6
300.3,472.9,485.9
301.4,473.4,486.1
302.5,473.8,486.4
303.7,474.2,486.7
304.8,474.7,487.0
306.0,475.0,487.3
307.1,475.3,487.5
308.3,475.7,487.8
309.4,475.6,488.1
310.6,475.8,488.4
311.7,476.2,488.7
312.9,476.4,488.9
314.0,476.9,489.2
315.2,477.1,489.4
316.3,477.5,489.6
317.4,477.6,489.8
318.6,478.1,490.1
319.7,478.4,490.3
320.9,478.7,490.7
322.0,478.9,490.9
323.2,479.4,491.3
324.3,479.7,491.7
325.5,480.1,491.9
326.6,480.2,492.2
327.8,480.3,492.5
328.9,480.6,492.9
330.0,480.5,493.1
331.2,480.8,493.4
332.3,481.2,493.7
333.5,481.1,493.9
334.6,481.3,494.1
335.8,481.5,494.2
336.9,481.6,494.5
338.1,481.9,494.8
339.2,482.2,495.1
340.4,482.3,495.3
341.5,482.7,495.5
342.7,482.9,495.7
343.8,483.0,495.8
344.9,483.1,496.0
346.1,483.5,496.2
347.2,483.8,496.4
348.4,484.0,496.6
349.5,484.2,496.7
350.7,484.2,496.8
351.8,484.6,496.9
353.0,485.0,497.1
354.1,485.4,497.2
355.3,485.2,497.3
356.4,485.3,497.5
357.6,485.4,497.6
358.7,485.6,497.8
359.8,486.0,498.0
361.0,486.0,498.1
362.1,485.9,498.2
363.3,486.1,498.3
364.4,486.5,498.5
365.6,486.7,498.7
366.7,486.8,498.9
367.9,487.3,499.1
369.0,487.6,499.3
370.2,487.8,499.4
371.3,487.7,499.6
372.5,487.6,499.9
373.6,487.5,500.0
374.7,487.7,500.2
375.9,488.2,500.3
377.0,488.3,500.5
378.2,488.5,500.6
379.3,488.3,500.8
380.5,488.5,501.1
381.6,488.6,501.3
382.8,488.7,501.5
383.9,489.1,501.7
385.1,489.4,501.9
386.2,489.4,502.1
387.3,489.0,502.2
388.5,488.9,502.3
389.6,488.8,502.4
390.8,489.0,502.5
391.9,489.3,502.6
393.1,489.3,502.7
394.2,489.1,502.8
395.4,489.1,502.9
396.5,489.4,503.0
397.7,489.6,503.3
398.8,489.6,503.4
400.0,489.6,503.5
401.1,490.2,503.6
402.2,490.5,503.8
403.4,490.7,503.9
404.5,490.7,503.9
405.7,490.5,503.9
406.8,490.6,504.2
408.0,490.6,504.4
409.1,490.8,504.7
410.3,491.2,504.8
411.4,490.8,504.9
412.6,491.1,505.1
413.7,491.4,505.1
414.9,491.6,505.3
416.0,491.8,505.5
417.1,491.8,505.5
418.3,491.8,505.6
419.4,491.5,505.5
420.6,491.5,505.6
421.7,491.6,505.6
422.9,491.8,505.7
424.0,491.5,505.8
425.2,491.5,505.9
426.3,491.5,506.0
427.5,491.7,506.0
428.6,491.8,506.1
429.8,491.8,506.1
430.9,491.8,506.2
432.0,491.8,506.3
433.2,491.6,506.3
434.3,491.9,506.3
435.5,492.3,506.4
436.6,492.4,506.5
437.8,492.4,506.5
438.9,492.2,506.5
440.1,492.4,506.5
441.2,492.5,506.6
442.4,492.4,506.6
443.5,492.1,506.6
444.6,491.6,506.7
445.8,491.5,506.6
446.9,491.7,506.6
448.1,491.2,506.5
449.2,490.9,506.3
450.4,491.0,506.3
451.5,491.0,506.3
452.7,491.3,506.3
453.8,491.5,506.3
455.0,491.4,506.2
456.1,491.2,506.2
457.3,491.3,506.3
458.4,491.4,506.2
459.5,491.7,506.2
460.7,491.6,506.2
461.8,491.5,506.2
463.0,491.6,506.2
464.1,492.0,506.2
465.3,492.1,506.3
466.4,492.5,506.5
467.6,492.6,506.5
468.7,492.9,506.7
469.9,492.9,506.8
471.0,492.9,506.9
472.2,493.0,507.0
473.3,493.0,507.0
474.4,493.0,507.1
475.6,493.0,507.0
476.7,493.0,507.1
477.9,492.8,507.1
479.0,492.7,507.2
480.2,492.7,507.2
481.3,492.1,507.2
482.5,492.4,507.2
483.6,492.3,507.1
484.8,492.2,507.1
485.9,492.2,507.1
487.1,492.3,507.0
488.2,492.3,507.0
489.3,492.2,506.9
490.5,492.4,506.9
491.6,492.4,506.9
492.8,492.5,506.9
493.9,492.8,506.9
495.1,492.7,507.0
496.2,492.5,506.9
497.4,492.6,506.9
498.5,492.6,506.9
499.7,492.6,507.0
500.8,492.7,507.1
501.9,492.9,507.2
503.1,493.1,507.2
504.2,493.0,507.2
505.4,493.1,507.3
506.5,492.9,507.3
507.7,492.8,507.3
508.8,493.0,507.4
510.0,492.9,507.4
511.1,492.8,507.4
512.3,492.7,507.5
513.4,493.0,507.6
514.6,493.1,507.6
515.7,493.3,507.6
516.8,493.6,507.7
518.0,493.5,507.8
519.1,493.4,507.8
520.3,493.9,507.9
521.4,494.1,508.1
522.6,494.3,508.2
523.7,494.4,508.3
524.9,494.4,508.3
526.0,494.6,508.4
527.2,494.7,508.4
528.3,494.7,508.5
529.5,495.0,508.6
530.6,495.0,508.7
531.7,494.8,508.7
532.9,495.0,508.8
534.0,494.8,508.8
535.2,494.8,508.9
536.3,494.9,508.9
537.5,495.0,509.0
538.6,495.2,509.1
539.8,495.0,509.1
540.9,495.3,509.2
542.1,495.1,509.2
543.2,494.8,509.3
544.4,494.7,509.4
545.5,494.8,509.4
546.6,494.8,509.3
547.8,494.7,509.2
548.9,494.6,509.3
550.1,494.7,509.4
551.2,494.7,509.4
552.4,494.9,509.4
553.5,494.6,509.4
554.7,494.7,509.4
555.8,494.5,509.3
557.0,494.4,509.4
558.1,494.1,509.4
559.2,494.2,509.3
560.4,494.4,509.3
561.5,494.4,509.3
562.7,494.5,509.3
563.8,494.5,509.2
565.0,494.4,509.2
566.1,494.4,509.2
567.3,494.3,509.1
568.4,494.6,509.1
569.6,494.4,509.1
570.7,494.6,509.1
571.9,494.6,509.1
573.0,494.8,509.1
574.1,494.8,509.0
575.3,494.5,509.1
576.4,494.5,509.1
577.6,494.5,509.1
578.7,494.6,509.1
579.9,494.5,509.1
581.0,494.3,509.1
582.2,494.2,509.1
583.3,493.9,509.0
584.5,493.8,509.0
585.6,493.7,508.9
586.8,493.9,508.8
587.9,493.6,508.8
589.0,493.7,508.8
590.2,494.2,508.8
591.3,494.0,508.8
592.5,494.3,508.8
593.6,494.2,508.7
594.8,494.3,508.7
595.9,494.1,508.7
597.1,494.3,508.7
598.2,494.1,508.7
599.4,493.9,508.7
600.5,493.9,508.7
601.7,494.1,508.7
602.8,494.1,508.8
603.9,494.0,508.7
605.1,494.0,508.7
606.2,494.2,508.8
607.4,494.2,508.8
608.5,494.3,508.9
609.7,494.3,509.0
610.8,494.2,509.0
612.0,494.1,508.9
613.1,494.0,509.0
614.3,494.4,509.0
615.4,494.4,509.1
616.5,494.5,509.1
617.7,494.3,509.1
618.8,494.4,509.1
620.0,494.3,509.0
621.1,494.4,509.0
622.3,494.5,509.1
623.4,494.3,509.1
624.6,494.4,509.1
625.7,494.7,509.1
626.9,494.6,509.1
628.0,494.7,509.0
629.2,494.9,509.0
630.3,495.0,509.0
631.4,494.9,509.0
632.6,495.0,508.9
633.7,495.2,508.9
634.9,495.1,509.0
636.0,495.1,509.0
637.2,495.1,508.9
638.3,494.9,508.9
639.5,494.8,509.0
640.6,494.9,509.0
641.8,495.0,508.9
642.9,494.7,509.0
644.1,494.6,509.1
645.2,494.3,509.0
646.3,494.5,508.9
647.5,494.6,509.0
648.6,494.7,509.0
649.8,494.8,509.0
650.9,494.8,509.0
652.1,494.8,509.0
653.2,494.7,509.1
654.4,494.7,509.1
655.5,494.6,509.1
656.7,494.7,509.2
657.8,495.0,509.3
659.0,495.2,509.4
660.1,495.4,509.6
661.2,495.5,509.6
662.4,495.4,509.6
663.5,495.2,509.7
664.7,495.1,509.6
665.8,495.5,509.6
667.0,495.8,509.7
668.1,495.8,509.8
669.3,352.5,508.0
670.4,308.7,502.4
671.6,295.6,496.4
672.7,286.7,490.4
673.8,277.5,484.5
675.0,268.7,478.4
676.1,260.4,472.3
677.3,252.0,465.9
678.4,243.6,459.7
679.6,235.4,453.3
680.7,229.2,447.1
681.9,217.6,440.9
683.0,186.4,434.4
684.2,106.1,428.1
685.3,71.3,421.6
686.5,51.3,414.9
687.6,37.4,407.5
688.7,29.6,211.6
689.9,25.6,136.3
691.0,22.3,110.4
692.2,19.8,90.3
693.3,18.6,75.3
694.5,17.4,61.3
695.6,16.5,48.9
696.8,16.1,38.4
697.9,15.7,31.3
699.1,15.2,26.3
700.2,14.8,23.1
701.4,14.4,20.6
702.5,14.2,19.0
703.6,14.1,17.8
704.8,14.1,17.1
705.9,14.1,16.6
707.1,14.2,16.3
708.2,14.2,16.1
709.4,14.2,15.9
710.5,14.2,15.7
711.7,14.1,15.6
712.8,14.0,15.4
714.0,13.9,15.2
715.1,13.8,15.1
716.3,13.8,15.0
717.4,13.8,14.9
718.5,13.8,14.8
719.7,13.8,14.8
720.8,13.8,14.7
722.0,13.7,14.7
723.1,13.7,14.6
724.3,13.6,14.5
725.4,13.5,14.4
726.6,13.5,14.4
727.7,13.5,14.3
728.9,13.4,14.3
730.0,13.3,14.2
731.1,13.3,13.9
732.3,13.2,13.8
733.4,13.2,13.7
734.6,13.1,13.7
735.7,13.0,13.6
736.9,12.9,13.5
738.0,12.8,13.4
739.2,12.8,13.3
740.3,12.8,13.3
741.5,12.8,13.2
742.6,12.8,13.2
743.8,12.8,13.2
744.9,12.8,13.2
746.0,12.7,13.2
747.2,12.8,13.1
748.3,12.8,13.1
749.5,12.8,13.2
750.6,12.8,13.2
751.8,12.8,13.2
752.9,12.8,13.2
754.1,12.8,13.2
755.2,12.7,13.1
756.4,12.7,13.1
757.5,12.7,13.1
758.7,12.7,13.1
759.8,12.7,13.1
760.9,12.7,13.1
762.1,12.7,13.1
763.2,12.7,13.1
764.4,12.7,13.1
765.5,12.7,13.1
766.7,12.7,13.1
767.8,12.7,13.1
769.0,12.7,13.1
770.1,12.7,13.1
771.3,12.7,13.1
772.4,12.7,13.1
773.6,12.7,13.1
774.7,12.7,13.1
775.8,12.7,13.1
777.0,12.7,13.0
778.1,12.7,13.0
779.3,12.7,13.1
780.4,12.7,13.1
781.6,12.7,13.1
782.7,12.7,13.1
783.9,12.7,13.1
785.0,12.7,13.1
786.2,12.7,13.1
787.3,12.7,13.0
788.4,12.7,13.1
789.6,12.7,13.0
790.7,12.7,13.1
791.9,12.7,13.0
793.0,12.7,13.0
794.2,12.7,13.0
795.3,12.7,13.0
796.5,12.7,13.0
797.6,12.7,13.0
798.8,12.7,13.0
799.9,12.7,13.0
801.1,12.7,13.0
802.2,12.6,13.0
803.3,12.6,13.0
804.5,12.6,13.0
805.6,12.6,13.0
806.8,12.6,13.0
807.9,12.6,12.9
809.1,12.6,13.0
810.2,12.6,12.9
811.4,12.6,12.9
812.5,12.6,12.9
813.7,12.6,12.9
814.8,12.5,12.9
816.0,12.5,12.9
817.1,12.5,12.9
818.2,12.5,12.9
819.4,12.6,12.9
820.5,12.6,12.9
821.7,12.5,12.9
822.8,12.5,12.9
824.0,12.5,12.8
825.1,12.5,12.9
826.3,12.5,12.8
827.4,12.5,12.8
828.6,12.5,12.9
829.7,12.6,12.9
830.9,12.6,12.9
832.0,12.5,12.9
833.1,12.5,12.9
834.3,12.5,12.9
835.4,12.5,12.9
836.6,12.6,12.9
837.7,12.5,12.8
838.9,12.5,12.9
840.0,12.5,12.9
841.2,12.6,12.9
842.3,12.6,12.9
843.5,12.6,12.9
844.6,12.6,12.9
845.7,12.6,12.9
846.9,12.6,12.9
848.0,12.6,12.9
849.2,12.6,12.9
850.3,12.6,12.9
851.5,12.6,12.9
852.6,12.6,12.9
853.8,12.6,12.9
854.9,12.6,13.0
856.1,12.7,13.0
857.2,12.8,13.1
858.4,12.8,13.1
859.5,12.9,13.2
860.6,13.0,13.3
861.8,13.0,13.3
862.9,13.1,13.4
